,company,job,title,question,answer
92,(주)테크빌,IT/웹/통신,"기본적인 전공관련질문과 기타사항을 질문""",전공기초대한질문 대학생활에관한질문 가족관계등개인적인사항질문,면접은 어렵지는 않았으며 편하게 대답하면 될거같습니다
93,영우씨엔아이(주),IT/웹/통신,"필기시험 후 실무진 기술면접 그 후 대표와 인성면접순으로 진행했습니다""","Python 사용여부
DB 다대다 테이블에 대한 이해
그리고 필기시험 본걸 바탕으로 면접 진행","Python은 사용해보지않았다
그 외 질문들에 대해 답변을 다 답했습니다"
94,(주)브이씨에이테크놀로지,IT/웹/통신,"메일로 연락이 왔고 회사 방문후 간단한 코테와 면접을 진행 했습니다.""",멀티 스레드와 멀티 프로세스에 대한 차이점을 설명해달라는 질문,면접 난이도가 어려운 편은 아니었지만 공고에 올라온 직무와 상관없는 질문이 몇개 있었음
95,(주)엔시스템즈,IT/웹/통신,"면접 분위기는 편안한 분위기에서 진행되었으며
하루뒤에 결과가 나왔습니다""","OSI 7 레이어를 대해 설명하시오
OSPF에 관해 설명하시오","아는대로 답변 하였고 편안한 분위기에서
긍정적으로 마칠 수 있었다"
96,레드스톤시스템(주),IT/웹/통신,"인사과 팀장님이랑 지원부서 팀장님 두분께서 면접보는데 질문자체도 별거없고 쓸대없는 질문이나 함""",인사과 팀장님이 여자친구있냐고 뮬어봤음 ㅋㅋㅋ진짜 별시답잖은 소리함 부담갖을 필ㅇ요없음,여자친구있다고 했고 그때 자기랑 2년안에 헤어진다고 월급빵 내기하자함 그분은 까먹었을지라도 나는 다 기억함
97,(주)대승인터컴,IT/웹/통신,"서류포폴 통과 후 실무진 면접 후 채용""","대략적인 업무 내용 설명후 일이 가능할지?
다루는 프로그램",불필요한 절차는 딱히 없었음. 실무위주로 물어봄
98,알파디스플레이(주),IT/웹/통신,"가족관계 질문
본인의 회사 설립하기까지의 과정을 알려줌
어떤 마인드로 임해야하는지 말해줌""","가족관계 질문
왜 이 직무에 지원하게 됐는지 질문
질문은 별로 없음",가족관계 답변했고 별 기억은 없다 대표님의 스토리와 어떤 의지로 업무에 임해야하는지 들음
99,(주)메이커스테크놀로지,IT/웹/통신,"면접관 2명, 지원자 2명으로 거의 10년만에 다른 지원자와 단체 면접진행 함""","이직사유, 결혼 여부, 흡연 및 음주 여부, 입사가능일 등을 질문합니다","두명 모두 입사를 이미 결정한 듯한 분위기에서 진행하여 편안했으며, 생각했던 것보단 탄탄한 느낌이 있었지만, 우린 연봉을 많이 줄 수 없다며 희망 연봉보다 낮게 제시할 것을 암시합니다. 희망 연봉을 줄 수 없으면 아예 면접 제안을 안 하는 게 맞지 않나요? 인재를 얻어 성장하고 싶으면 그만큼 투자도 하는 게 맞습니다."
100,지테크시스템(주),IT/웹/통신,"인격모독 당하고 경력도 무시하고 답변들을 비웃듯이 비꼬기만 했음""",긴장해서 말 더듬었다고 어휘력 딸리고 일상생활도 그런 식으로 하냐는 등 경력 일부분 살려서 가는건데 다른 경력도 없으면서 왜지원했냐 너가? 여기를 지원해? 라는 비아냥거리는 태도와 질문들로 면접 진행함,"오히려 면접 때 이런 회사를 거를 수 있어서 다행이었고 원수한테도 이 회사는 가지 말라고 말릴 것 같음.
이런 인성을 가진 상사들 밑에서 무슨 일을 배우나 싶고 문제있는 회사임
그래놓고 합격했다고 출근하라는데"
101,(주)뷰넥스,IT/웹/통신,"서류제출 후 문자로 연락옴
면접일정 잡은 후 방문""","1. 회사지원동기
2. 성공경험은?
3. 공부는 어떤 방식으로 하고 있는지",생각보다 무난했고 압박면접 없었음
102,(주)크레아코퍼레이션,IT/웹/통신,"면접 시간 30분 내외, 대부분 포트폴리오에 관한 질문이라 비교적 쉬운 면접이었음""","- 입사시 새로운 분야를 배울 생각 있는지
- 언제부터 출근 가능한지
- 작업 속도는 빠른 편인지",성장을 위해 노력하는 직원을 원하는 기업
103,(주)두이즈,IT/웹/통신,"과정은 어렵지 않았어요,친절하게 설명해주셨어요,회사에 대해 업무내용들을 설명해줬어요""",어떤 경험있는지 업무내용은 받아들일수 있는지에 대해 물어본게 인상에 남았어요,"순조로운 느낌이 약간 있어요,면접 봐주신분은 엄청 친절했어요"
104,디젠(주),IT/웹/통신,"1차 면접 및 영어 구술/작문 면접 후 임원진 면접 진행됨""","회사에 궁금한 점을 역으로 물어보는 경우가 많았음.
문제 접근 방법 및 해결 과정에 대해 물어봄",답변을 올바른 방향으로 이끌어 주려고 노력함. 압박면접 없음
105,컴박스테크놀러지,IT/웹/통신,"체계적이지 않고, 주먹구구식이고 회사에 충성도나 애사심을 알지도 못하는 지원자에게 바라는 질문등을 함""",주량 야근여부 상명하복여부 직무와 전혀 상관없는 질문들을 늘어놓음 하지만 이 질문들이 무얼 의미 했는지 입사하면 알게 됨,면접보면서도 어이가 없음 면접보는데 고성방가와 악쓰는 소리가 들림
106,동명에스앤디(주),IT/웹/통신,"그냥 일반적인 면접임 실무자나 대표가 편안하게 티타임 형식으로 진행됐음""",쇼핑몰 어디어디 다뤄봤나? 매출 많이 내봤나? 이런 질문들 위주,전문적인 면접은 아니고 실무 관련 능력을 확인 하는 수준입니다
107,코발트레이(주),IT/웹/통신,"면접은 쉬움, 인력이 없어서 아무나 채용하는 느낌 쓰다 버리는 느낌""",그냥 출근하세요 잘하실꺼같아요 이러셨음. 포폴 이것저것 물어보길 바랬으나 자기 자랑만 하셨음,뭐지?..뭐를 검증하고 오라는거지?.?
