,company,job,title,question,answer
37,(주)에프원시큐리티,IT/웹/통신,"1-2명의 면접관과 편안한 분위기에서 진행됨""","자유주제 발표가 있었고 무난하게 지나감.
Osi 7계층 등에서부터 답을하지 못하는 질문까지 진행되는듯",무난하고 쉬운 편의 면접 경험이었음
38,(주)데이터트리,IT/웹/통신,"특별히 남는 기억은 없다 영업이 계속 자기 엔지니어 출신이라며 연봉을 깍을려고 혈안이다 지원자의 질문보단 면접관의 질문공새만 나온다 아마 싼인력으로 사람을 갈아넣는것 같다 업무분장도 재대로 되있지않으며 지원자...""",혼자서 여러가지를 다해야하는데 다 할수 있나요? 책임감있는 사람을 찾는것 같다,소규모 중소기업은 약속을 지키는게 없다
39,에임시스템(주),IT/웹/통신,"분위기는 괜찮았고 면접은 1번 보았습니다.""","사용할 수 있는 언어, 전 회사에서 무엇을 하였는지, 자기소개",분위기가 편안했습니다.
40,맨텍(주),IT/웹/통신,"전화로 1차 면접 일정 조율 (메일 안줌)
면접은 이력서 기술 스택 및 프로젝트 질문 위주
그리고 cs적인 질문 몇가지""",무난무난해서 딱히 기억에 남는것은 없는것 같네여 거의 이력서에.적힌 것들 물어봄,편안한 느낌의 면접이였고 잘 준비만 한다면 합격할듯 이력서위주로 준비하자
41,유니티테크놀로지스코리아(유),IT/웹/통신,"리크루터에게 연락받고 전화면접 후 세번의 추가 면접이 있었어요. 분위기는 친절하고 부드러웠어요""","기본적인 자기소개
그리고 지원한 동기는 무엇인지
질문이 더 있는지",자기소개 길게 자랑을 늘어놨고 동기는 오래 다닌 회사를 떠나 새로운 곳에서 경력을 쌓고 싶다고 했고. 질문을 정말 많이 했어요. 진실하게 그리고 꼭 붙고 싶다는 마음이 전달되도록 하니까 긍정적으로 봐주셨어요.
42,라온피플(주),IT/웹/통신,"라온피플에서 직접 연락이 와서 면접 봄""","회사에 대해서 설명해달라
PPT잘 만드는지?
본인이라면 어떻게 업무를 할 것인지?","면접담당관이 면접 중에 꾸벅꾸벅 졸고 그러면, 예의가 아니라고 생각한다.
동 회사는 평점도 2점대이며, 시니어에 대한 직원들의 불만이 상당하다고 생각했는데, 역시나 그런 이유를 알게되었고, 정부사업 쪽으로 이것저것 많이 벌인 모양인데, 아무리 자회사라고 해도, 무관하다는 식으로 답변을 하면, 대충 어떻게 관리하고 있는지 감이 왔다."
43,(주)이글루코퍼레이션,IT/웹/통신,"자기소개서 제출 후 면접 1회 후 합격 통보 받았습니다.""","SQL Injection 이 무엇이고 대처법은 어떻게 해야하는 지?
가장 최근에 읽은 책 제목과 내용은?
스트레스를 받을 때 어떻게 하는가?",신입을 뽑는 자리이다보니 기술 적인 질문 보단 인성위주로 이루어졌음.
44,(주)레브잇,IT/웹/통신,"서류지원 후 전화면접 이메일 및 일정 선택
전화면접은 인사팀에서 해주심
자기소개는 패스 지원동기 및 프로젝트 관련 짧게 질문
답변에 꼬리질문 조금
전화면접이라 빠르게 진행""",기억에 남는 프로젝트에 대한 것과 그것을 선택한 이유,빠르게 진행됨 그래도 이야기에 충분히 경청해주고 필요한 부분만 물어봐서 좋았음
45,효성아이티엑스(주),IT/웹/통신,"서류 1차 결과통보 > 화상면접 > 결과 발표""","거주지를 여쭤보셨고, 지원동기와 자기소개서 그리고 추가 질문사항이 없는지 여쭤보심",빠르다
46,액트베이스유한책임회사,IT/웹/통신,"친절하고 상세하게 질문해주시고 신입의 면접 과정을 부담없도록 분위기를 이끌어줌""","React hook, 사이클, state 를 사용하는 이유",친절했습니다
47,(주)파오스파트너스,IT/웹/통신,"엑셀을 어느정도 다룰 수 있는지, 전공과 다른 일을 선택한 이유""",야근을 어떻게 생각하는지 물어봐서 좀 당황스러웠던 거 같음,야근에 대해 어쩔 수 없으면 해야한다는 식으로 최대한 긍정적으로 대답함
48,(주)와이즈캔,IT/웹/통신,"서류합격 후 면접의사있는지 전화가왔습니다. 면접방식이 다대다면접인지 문의드렸을때, 개별면접방식 확인했습니다. 면접당일 개별면접이아닌 다대다면접으로 진행되었고, 그 이유에 대해서도...""","주량이어떻게되나?
MBTI가 어떻게되나?
희망연봉이어떻게되나?","다대다면접에서 희망연봉을 물어보는 경우는 처음였고 국비교육을 들었기때문에 직무와관련된 질문은 크게 의미없을꺼라고 하신말씀이 면접을 위해 공부하고 준비한 입장에서 당황스러웠습니다.
신입사원은 그 회사에 입사해서 많은 경험과 역량을 쌓기위해 1시간의 면접을 위해 많은 준비를 합니다. 저는 떨어졌지만 다음 면접자를 위해서라도 회사도 그에 적합한 매너를..."
49,지넥슨(주),IT/웹/통신,"메일로 서류합격 연락, 실무진 면접을 통해 인성, 기술면접을 본 후 일주일 이내로 전화 합격 연락이 왔습니다.""","실패했던 경험, 스트레스 푸는 방법, MVC패턴",편안한 분위기로 면접 질문을 이해 못하면 다시 설명해주는 등 친절했습니다.
50,씨제이올리브네트웍스(주),IT/웹/통신,"1분자기소개, 개발환경 관련 질문 등 편안한 분위기에사 진행되었습니다""","1분 자기소개, 본인의 장점, 마지막 할말 물어보셨습니다","강점으로 자기소개,
장점은 개인적인 사례를 들어 풀어냄
마지막할말은 개인적으로 입사 전에 공부해야할 게 있을지

개발환경 관련 대답을 잘 하지못해 탈락한 듯 함"
51,(주)올리브스톤,IT/웹/통신,"서류-1차 면접(비대면 화상면접)-2차 면접(대면)-최종합격""","1. 지금까지 저의 경력에 대한 질문들
2. 우리 프로젝트 중에서 어떤 프로젝트가 가장 흥미로운지?
3. 우리 프로젝트 중에서 본인이 가장 잘 할 수 있을것같은 프로젝트는?","1차 면접은 화상 면접으로 팀장님과 1대1로 면접을 진행했습니다.
제가 답변을 편하게 할 수 있도록 면접을 이끌어가셨고 편안한 마음으로 면접을 봤습니다.
2차 면접은 대면 면접이었는데 면접관으로 네분이 들어오셨습니다.
부담스러울 수 있지만 경직되지 않은 편안한 분위기를 조성해주셔서 제가 하고 싶었던 이야기를 편하게 다 할 수 있었고 제 답변에서..."
