,company,job,title,question,answer
142,이케이웍스(주),IT/웹/통신,"비대면 화상회의로 1차면접진행. 한시간반정도 진행함. 실무적능력을 기준으로 기본기가 탄탄한지를 확인하는시간이었음. 2차,임원면접은 기술면접이 아니므로 적지않겠음.""",DB조회시 수단과 방법을 가리지않고 최대성능을 뽑고싶을때 지원자는 어떤방법을 사용할것인가.,면접의답변보다 이 회사의 개발적마인드나 철학을 느낄수있었다.
143,(주)스패로우,IT/웹/통신,"서류 - 온라인 면접 - 오프라인 면접 (PT 발표)""","컴퓨터 과목 중 어떤 과목이 가장 재밌었는지?
파수에서 컨설턴트의 역할은?",인원이 많아 당황스러웠지만 성실히 대답했습니다.
144,블록스퀘어서울,IT/웹/통신,"데이터 관리하는법? 같은 거 물어봤음 그 외에 파이썬 다뤄봤는지""",기억에 남는 면접 질문은 딱히 없었음 뭘 더 적어야할 지 모르겠네,면접이 그리 어렵다고 생각되진 않고 그냥 뭐 할 줄 아는지만 대답하면됐음
145,오픈엣지테크놀로지(주),IT/웹/통신,"헤드헌터에서 연락오고 이력서 접수 후 바로 면접일정 잡혔고 강남역 사무실에서 면접 진행. 면접관 세명 들어옴.""",컴파일러가 무엇이라고 생각하는가? 이전 직장에서 왜 나오려고 하는가?,일반적인 컴파일러와 딥러닝 컴파일러의 차이점 설명했고.. 무난하게 진행한 것 같으나.. 동종업계 이직이다보니 너무 내가 조심스러워서 제대로 말을 못했;;; 사실 꼭 가고싶었던 회사도 아니어서 아쉬움은 별로..
146,(주)오웨이소프트,IT/웹/통신,"문자로 1차 합격문자를 받고 2차로 면접 실시 후 2일만에 합격 문자가 옴""","Spring
Javascript
JAVA

위 3가지 어느정도 할 줄 아냐?",제가 아는 만큼 대답을 했고 기본적인 지식 문제 질문을 했습니다.
147,(주)현대아이티앤이,IT/웹/통신,"주로 인성에대한 질문이였습니다
생각외로 했던 경험에대한 꼬리질문은 없었습니다""","자격증이 없는이유가 뭐냐?
학점이 좋은데학교 생활 재미없지 않았냐?",구글링하면 나오는 면접질문이랑 동일하게 그대로 나옵니다
148,(주)딜라이트룸,IT/웹/통신,"처음 지원부터 최종 면접까지 한달 반 정도 기간이 소요되었음 꽤나 긴 과정이었지만, 즐거운 시간이었음. 특히 과제를 수행하고 설명했던 과정이 상당히 어려웠지만 그걸 설명하는 시간이 재미있었음.""","이직하려는 이유
특정 직무에 대한 경험
딜라이트룸에 대해 알게 된 계기
해당 직무로 지원하게 된 계기","1, 2차 면접의 경험이 좋았어서 3차면접도 기대했으나 합격하지는 못했음. 전반적으로 대부분 면접자 분들께서 친절하게 대해주셨고 긴장하지 않게 분위기를 잘 풀어주셨음. 다만 최종면접에서 뵙게된 대표님의 권한이 다른 면접자분들의 의견보다도 훨씬 강한 것 같다는 인상을 받았음"
149,(주)해피문데이,IT/웹/통신,"서류 통과 후 1차 면접, 면접관 두 명에 면접자 한 명, 약 40분 진행되었습니다""","자기소개, 지원동기, 가장 힘들었던 경험, 자사 앱 사용 경험 여부, 앱들 중 가장 괜찮다고 생각하는 앱, 우리 회사에서 일하게 된다면 얻어가고 싶은 것",반응도 해주시고 편하면서 차분한 분위기였습니다
150,피티더블유코리아(주),IT/웹/통신,"서류-전화면접-온라인 화상 면접-영어 임원 면접-최종합격 순서, 시간은 전부 조율 가능했음""","자기소개, 본인의 단점, 이전 근무 경험 등 평이하였고 방금 한 말을 영어로 해보라는 질문도 있었음",자기소개서에 적은 그대로 답변했고 크게 어려운 질문음 없었음
151,아슈리온코리아(유),IT/웹/통신,"압박면접은 아니었습니다. 긴장되진 않았지만 긴장 되었어요. 합격 못해서 할 말이 없네요. 채용까지 못 갔어요.""","가장 기억에 남는 일과 힘들었던 일, 스트레스 받으면 어떻게 푸는 지 등을 물어봤습니다.",긴장된 분위기는 아니었지만 긴장했습니다.
152,(주)망고,IT/웹/통신,"채용공고에 지원하고 담당자를 통하여 전화가 옴 면접일자까지 잡고 편안한 분위기에서 면접 봄""","오래되서 잘 기억이 안나지만 언어에 대하여 물어봤었음, 딱히 기억에 남는 질문이 없음...",그럭저럭 무난한 면접이였지만 무엇을 하는 회사인지 잘 알수가 없었음
153,(주)헬로비즈,IT/웹/통신,"1차를 화상 면접으로 보고, 2차를 대면 면접 봤습니다.""","백엔드에 개발하는 자세를 중요하게 생각하는것 같습니다. 목표 지향적인 사고!
기술면접과 프로젝트 질문이 있었습니다.",난이도는 쉬운 편 면접관도 편안하게 해주셔서 좋았어요.
