,company,job,title,question,answer
30,(주)라온시큐리티,IT/웹/통신,"서류 통과 후 실기 시험을 보고 합격""","개발은 어느 정도 하시나요?
메모리 구조에 대한 질문",오래되서 기억에 남지 않습니다
31,(주)인텐트시큐어,IT/웹/통신,"면접수준은 낮습니다. CEO마음에 들면 합격입니다. 연봉은 적으나 바라는것은 많이 있습니다.""",청소를 잘 할수 있느냐. 일적인 질문보다는 쓰레기통 잘 버릴수 있는지 커피를 잘 타다 줄수있는지를 물어 보았습니다,답.정.너. 이미 답은 정해져 있습니다. 업무관련 질문이 아니기에 어떤 답을 하야할지 딱 보입니다
32,(주)아이씨티케이홀딩스,IT/웹/통신,"2대 1로 1차명접을 보게 되고 여기서 합격하면 2차 면접을 보고
여기서 합격하면 취직된다""","삼성과 엘쥐의 차이는 무엇인가
클라우드에 대해 설명하시오
제품소개자료는 어느정도까지 만들 수 있는거",그냥 평이했다
33,에스이웍스(주),IT/웹/통신,"경영진이 외국에있어 1차면접 실무자들과 한국에서 진행하고 2차로 화상으로 경영진과 인터뷰합니다.""","직무에 관련해서 어려움을 해결하기 위해 힘쓴 방법
입사후 기여할수 있는 부분
현재 가지고 있는 스킬들",실력좋은 해커들이 많다보니 기술면접이 까다롭습니다
34,(주)프라이스데이,IT/웹/통신,"전화인터뷰 2회정도 하고 면접보러갓는데 지원한 공고 말고 op할생각잇냐고 물어봄""","op근무 하면서 돈도 벌고 공부해볼생각 있어요?
주야교대근무인건 알고 잇죠?",다시는 안오고 싶은곳임
35,(주)넷플랫,IT/웹/통신,"면접 후 곧바로 그 자리에서 채용되었음""",몇년 후 자신이 어떤일을 하고 있을지에 대한 질문,그냥 평범
36,(주)시큐어플레어,IT/웹/통신,"지원 후 면접까지 일주일 정도 소요, 다대다 면접 x""","자기소개소 위주의 인성 면접이었음.
개별 과제로 진행했던 프로젝트 문의.",편안한 분위기 - 압박 면접은 아니었음.
37,시큐어코퍼(주),IT/웹/통신,"면접자를 편하게 대해줌 면접자를 아주 편하게 대해줬음""",보안직무답게 기본적인 기초 베이스 형식으로 질문이 왔음,2
38,수리피아,IT/웹/통신,"일단 면접전에 사장님이 계속 오는 도중에도 문자로 연락주실 정도로 꼼꼼함이 많으시구요. 기술직 같은 경우는 면접시 대학교 시험성적 보구요(학교는 관심없어하더라구요) 필기시험 봅니다. 그리고 직원들한테 업무상...""","필기시험 내용은 1페이지는 IT용어들을 쭉 나열해져있는데 정의 or 핵심내용을 쓰라는 문제고. 간단하게 한줄씩만 작성(컴공이나 통신과이시면 기본이론(심화X) 공부 잘 정리하셨으면 풀기 쉬운문제) 뒷장에는 치밀함, 꼼꼼함 테스트 같은게 있었어요.(난이도는 쉬움)",주로 학구열에 대해서 많이 물어보고 납땜관련도 물어봤어요.
39,(주)코소시스코리아,IT/웹/통신,"면접때 질문의 질, 양은 적당 했음.""","특히 어려웠던 질문은 없었음. 평범한 수준.
자기소개 지원동기 등","평범하게 대답했으며 장황하지않았음.
단, 마지막에 대표가 다른데 잘알아보라는 식의 말은 부적절해 보였음."
40,피앤피시큐어(주),IT/웹/통신,"BEST
"" 아래의 절차대로 진행됩니다.
- 서류심사
- 서류심사 통과시, 인터넷을 통한 적성검사/IQ테스트 2시간 분량 수행하고, 결과 메일로 제출
- 적성검사 통과시 실무진 1차면접
. 1차면접 장소에서...""","기존에 더 큰 회사에 다녔는데, 굳이 더 작은 회사로 이직하는 사유가 뭔가요?","지인의 소개로 알게 되었습니다.
전 직장도 좋았지만 미래의 비전을 보고 이직을 결심하게 되었습니다."
